INDEX,SID,DATAPAKID,RECORD,WM_LGNUM,OI_EBELN,OI_EBELP,WM_DOCNO,WM_ITEMNO,/BIC/GEWHUGUID,RECORDMODE,CALYEAR,CALMONTH,CALWEEK,CALDAY,WM_PRODNO,WM_HUIDENT,WM_DOCCAT,WM_DOCTYPE,WM_LGTYP,/BIC/GEWPWAGEN,/BIC/G0WM_TU_N,WM_TUSRACT,WM_LICNUM,WM_LGPLA,/BIC/GEWTSTP00,/BIC/GEWVBELN,/BIC/GEWTSTP10,/BIC/GEWSTAT10,/BIC/GEWTSTP20,/BIC/GEWSTAT20,/BIC/GEWTSTP30,/BIC/GEWSTAT30,/BIC/GEWTSTP40,/BIC/GEWSTAT40,/BIC/GEWTSTP45,/BIC/GEWSTAT45,/BIC/GEWTSTP50,/BIC/GEWSTAT50,/BIC/GEWTSTP60,/BIC/GEWSTAT60,/BIC/GEWTSTP65,/BIC/GEWSTAT65,/BIC/GEWTSTP70,/BIC/GEWSTAT70,/BIC/GEWTSTP75,/BIC/GEWSTAT75,/BIC/GEWTSTP80,/BIC/GEWSTAT80,/BIC/GEWTSTP90,/BIC/GEWSTAT90,/BIC/GEWTSTP95,/BIC/GEWSTAT95,/BIC/GEWSTAT15,/BIC/GEWSTAT99,/BIC/GEWSTATTL,/BIC/GEWLSTAT,WM_COUNT2,/BIC/GEW2030L,/BIC/GEW3040L,/BIC/GEW4045T,/BIC/GEW6565T,/BIC/GEW6575L,/BIC/GEW7080L,/BIC/GEW7575T,/BIC/GEW8090L,/BIC/GEW2080L,/BIC/GEWTST45L,/BIC/GEWTST65L,/BIC/GEWTST75L
1225,67417,1,1202,LOCM,5100044507,10,00000000000000000000000022000000513,10,0A220EF637021ED681F87620B21386FE,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013946080,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132144,,20160421132238,2,20160421132243,3,20160421133605,3,20160421133839,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,802,154,50,0,0,0,0,0,0,20160421133855,0,0
1226,67417,1,1201,LOCM,5100044513,10,00000000000000000000000022000000612,10,0A220EF637021ED681F87620A7A306FE,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013946079,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132147,,20160421132239,2,20160421132243,3,20160421133555,3,20160421133836,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,792,161,50,0,0,0,0,0,0,20160421133855,0,0
1227,67417,1,1200,LOCM,5100044503,10,00000000000000000000000022000000607,10,0A220EF637021ED681F876209DECC6FE,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013946078,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132142,,20160421132237,2,20160421132243,3,20160421133543,3,20160421133830,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,780,167,50,0,0,0,0,0,0,20160421133855,0,0
1228,67417,1,1199,LOCM,5100044510,10,00000000000000000000000022000000610,10,0A220EF637021ED681F87620946246FE,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013946077,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132146,,20160421132239,2,20160421132242,3,20160421133532,3,20160421133827,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,770,175,50,0,0,0,0,0,0,20160421133855,0,0
1229,67417,1,1198,LOCM,5100044520,10,00000000000000000000000022000000711,10,0A220EF637021ED681F8762089C746FE,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013946076,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132151,,20160421132240,2,20160421132449,1,20160421132646,3,20160421133824,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,117,698,50,0,0,0,0,0,0,20160421133855,0,0
1230,67417,1,1197,LOCM,5100044504,10,00000000000000000000000022000000611,10,AE2340D55A031ED680944E733401D5CC,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013945939,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132143,,20160421132239,2,20160421132242,3,20160421133520,3,20160421133820,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,758,180,50,0,0,0,0,0,0,20160421133855,0,0
1231,67417,1,1196,LOCM,5100044505,10,00000000000000000000000022000000608,10,AE2340D55A031ED680944E7327D595CC,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013945938,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132143,,20160421132237,2,20160421132242,3,20160421133509,3,20160421133817,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,747,188,50,0,0,0,0,0,0,20160421133855,0,0
1232,67417,1,1195,LOCM,5100044508,10,00000000000000000000000022000000606,10,AE2340D55A031ED680944E731B9F55CC,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013945937,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132145,,20160421132237,2,20160421132449,1,20160421133456,3,20160421133814,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,607,198,50,0,0,0,0,0,0,20160421133855,0,0
1233,67417,1,1194,LOCM,5100044203,10,00000000000000000000000022000000470,10,0A220EF637021ED5B9D7FA1B5BAF595C,,2016,201603,201610,2016-03-10,038105101AAROH,00000000000013945081,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160310130059,,20160310130110,3,20160310130112,3,20160323092535,1,20160421133805,1,20160421133855,2,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,1110263,2520750,50,0,0,0,0,0,0,20160421133855,0,0
1234,67417,1,1193,LOCM,5100044502,10,00000000000000000000000022000000512,10,0A63B21C04021ED5B9A2990F17FA41AE,,2016,201604,201616,2016-04-21,038105101AAROH,00000000000013944455,PDO,ZLE1,GRS,,000000200000000438,755,LKW001,WAENGPASS1,20160421132141,,20160421132238,2,20160421132241,3,20160421133438,3,20160421133810,3,20160421133855,3,20160421133855,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,717,212,50,0,0,0,0,0,0,20160421133855,0,0
