INDEX,/BIC/GEWTST75L,WM_LGNUM,OI_EBELN,OI_EBELP,WM_DOCNO,WM_ITEMNO,/BIC/GEWHUGUID,RECORDMODE,CALYEAR,CALMONTH,CALWEEK,CALDAY,WEEKDAY1,WM_PRODNO,WM_HUIDENT,/BIC/GEWPWAGEN,/BIC/G0WM_TU_N,WM_TUSRACT,WM_LICNUM,WM_LGPLA,/BIC/GEWTSTP00,/BIC/GEWVBELN,/BIC/GEWTSTP10,/BIC/GEWSTAT10,/BIC/GEWTSTP20,/BIC/GEWSTAT20,/BIC/GEWTSTP30,/BIC/GEWSTAT30,/BIC/GEWTSTP40,/BIC/GEWSTAT40,/BIC/GEWTSTP45,/BIC/GEWSTAT45,/BIC/GEWTSTP50,/BIC/GEWSTAT50,/BIC/GEWTSTP60,/BIC/GEWSTAT60,/BIC/GEWTSTP65,/BIC/GEWSTAT65,/BIC/GEWTSTP70,/BIC/GEWSTAT70,/BIC/GEWTSTP75,/BIC/GEWSTAT75,/BIC/GEWTSTP80,/BIC/GEWSTAT80,/BIC/GEWTSTP90,/BIC/GEWSTAT90,/BIC/GEWTSTP95,/BIC/GEWSTAT95,/BIC/GEWSTAT15,/BIC/GEWSTAT99,/BIC/GEWSTATTL,/BIC/GEWLSTAT,/BIC/GEWTSTPUP,WM_COUNT2,/BIC/GEW2030L,/BIC/GEW3040L,/BIC/GEW4045T,/BIC/GEW6565T,/BIC/GEW6575L,/BIC/GEW7080L,/BIC/GEW7575T,/BIC/GEW8090L,/BIC/GEW2080L,/BIC/GEWTST45L,/BIC/GEWTST65L,RECORD
11,0,LOCM,5100043010,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-12,4,06E103023BG,,,,0,,,20151112140901,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151112150942,1,0,0,0,0,0,0,0,0,0,0,0,11
12,0,LOCM,5100043011,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-12,4,06E103023BG,,,,0,,,20151112140901,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151112150942,1,0,0,0,0,0,0,0,0,0,0,0,12
13,0,LOCM,5100043012,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-13,5,06F141015,,,,0,,,20151113085749,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151113092246,1,0,0,0,0,0,0,0,0,0,0,0,13
14,20151202145748,LOCM,5100043013,10,00000000000000000000000022000000002,10,AE2340D55A031EE5A2BC3D7E0FF4D9A5,,2015,201511,201546,2015-11-13,5,06F141015,00000000000013939127,PLAT000001,000000200000000089,132,LKW001,WAENGPASS1,20151113085749,0189593261,20151113085946,2,20151113085946,3,20151113093621,1,20151124140453,1,20151124140455,3,20151124140455,3,20151125125530,1,20151125125530,3,20151125125530,3,20151125130954,1,20151125131038,3,0,,0,,,,1,ST80,20151125131123,1,2195,966512,91,61,864,908,0,0,1051852,20151124140455,20151125125631,14
15,20151125130937,LOCM,5100043014,10,00000000000000000000000021000000032,10,AE2340D55A031EE5A2BC6E0F99AB59A5,,2015,201511,201546,2015-11-13,5,06F141015,00000000000013939129,PLAT000001,000000200000000063,45,HET-006,LMWALKWL03,20151113094624,0189593040,20151113094725,3,20151113094726,3,20151116073437,1,20151116073454,3,20151116073456,3,20151116073456,3,20151125125444,1,20151125125444,3,20151125125445,3,20151125130937,1,20151125131038,3,0,,0,,,,1,ST80,20151125131123,1,251231,17,2,0,893,953,0,0,1048992,20151116073456,20151125125444,15
16,20151125130949,LOCM,5100043015,10,00000000000000000000000021000000125,10,AE2340D55A031ED5A3A519B7DC76D253,,2015,201511,201546,2015-11-13,5,06F141015,00000000000013939143,PLAT000001,000000200000000016,81,,LMWALKWL06,20151113094625,0189593141,20151113094725,3,20151117124910,1,20151117141100,1,20151119073119,1,20151119073127,3,20151119073132,3,20151125125513,1,20151125125513,3,20151125125513,3,20151125130949,1,20151125131038,3,0,,0,,,,1,ST80,20151125131123,1,4910,148819,8,0,876,925,0,0,692488,20151119073127,20151125125513,16
17,0,LOCM,5100043016,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-13,5,06F141015,,,,0,,,20151113094625,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151113104646,1,0,0,0,0,0,0,0,0,0,0,0,17
18,0,LOCM,5100043017,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-13,5,06F141015,,,,0,,,20151113094625,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151113104646,1,0,0,0,0,0,0,0,0,0,0,0,18
19,0,LOCM,5100043018,10,00000000000000000000000021000000144,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-16,1,06E103023CQ,,,,0,,,20151116141843,,20151116142023,3,20151116142024,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,X,1,ST99,20160331142738,1,0,0,0,0,0,0,0,0,0,0,0,19
20,0,LOCM,5100043019,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-17,2,059103404BP,,,,0,,,20151117070952,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151117081005,1,0,0,0,0,0,0,0,0,0,0,0,20
21,0,LOCM,5100043020,10,00000000000000000000000021000000146,10,0A63B21C04021ED5A1F6E4A4BBE78193,,2015,201511,201547,2015-11-17,2,03C105266F,00000000000013939010,,000000200000000009,17,,LMWALKWL01,20151117073358,,20151117073435,3,20151117073436,3,20151117082027,1,20151124134029,1,20151124140214,1,20151124140217,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20151124140221,1,2751,624002,1305,0,0,0,0,0,0,20151124140214,0,21
22,0,LOCM,5100043021,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-17,2,079103023AR,,,,0,,,20151117100059,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151117110106,1,0,0,0,0,0,0,0,0,0,0,0,22
23,0,LOCM,5100043022,10,00000000000000000000000021000000149,10,0A63B21C04021ED5A1F6E4A4CA20C193,,2015,201511,201547,2015-11-17,2,03C105266F,00000000000013939011,,000000200000000084,108,LKW001,LMWALKWL02,20151117100258,,20151117100323,3,20151117100329,3,20151124123848,1,20151124123932,3,20151124123934,3,20151124123934,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20151124124021,1,614119,44,2,0,0,0,0,0,0,20151124123934,0,23
24,20151202145748,LOCM,5100043023,10,00000000000000000000000022000000102,10,AE2340D55A031ED5A3888FA183675A17,,2015,201511,201547,2015-11-17,2,04L103023C,00000000000013939322,,000000200000000089,132,LKW001,WAENGPASS1,20151117135955,0189593259,20151117140024,3,20151117140024,3,20151124125203,1,20151124140432,1,20151124140455,3,20151124140455,3,20151125125631,1,20151125125631,3,20151125125632,3,0,,0,,0,,0,,,,1,ST70,20151125125724,1,600699,4349,91,61,0,0,0,0,0,20151124140455,20151125125631,24
25,0,LOCM,5100043024,10,00000000000000000000000021000000160,10,0A63B21C04021ED5A1F6E4EF40804193,,2015,201511,201547,2015-11-17,2,04L103373E ROH,00000000000013939001,,000000200000000014,67,,LMWALKWR01,20151117152520,,20151117152654,3,20151117152655,3,20151117153556,1,20151117154308,1,20151117154349,3,20151117154358,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20151117163706,1,541,432,41,0,0,0,0,0,0,20151117154349,0,25
26,0,LOCM,5100043025,10,00000000000000000000000022000000003,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-18,3,059103404AS,,,,0,,,20151118120718,,20151118120757,3,20151119075913,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST20,20160126145417,1,0,0,0,0,0,0,0,0,0,0,0,26
27,0,LOCM,5100043026,10,00000000000000000000000022000000004,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-18,3,06K103403AG,,,,0,,,20151118122829,,20151118123038,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,20151118131008,1,0,0,0,0,0,0,0,0,0,0,0,27
28,0,LOCM,5100043027,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03C105266L,,,,0,,,20151120095149,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,28
29,0,LOCM,5100043028,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03C105266L,,,,0,,,20151120095152,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,29
30,0,LOCM,5100043029,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03C105266L,,,,0,,,20151120095154,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,30
31,0,LOCM,5100043030,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03C105266L,,,,0,,,20151120095154,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,31
32,0,LOCM,5100043031,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03L105266DJ,,,,0,,,20151120095155,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,32
33,0,LOCM,5100043032,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03L105266DJ,,,,0,,,20151120095155,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,33
34,0,LOCM,5100043033,10,00000000000000000000000021000000090,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03L141016K,,,,0,,,20151120095156,,20151125153836,1,20151125153837,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST20,20160112100731,1,0,0,0,0,0,0,0,0,0,0,0,34
35,0,LOCM,5100043034,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03L141016S,,,,0,,,20151120095156,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,35
36,20151201102741,LOCM,5100043035,10,00000000000000000000000021000000093,10,AE2340D55A031EE5A3BB131AD6AACB0A,,2015,201511,201547,2015-11-20,5,03L141018A,00000000000013939428,,000000200000000026,141,LKW-002,LMWALKWL05,20151120095156,0189593294,20151125153836,1,20151125153838,3,20151125165723,1,20151126125106,1,20151126125108,3,20151126125108,3,0,,0,,0,,0,,0,,0,,20151201100941,1,,,1,ST95,20151201101032,1,4725,71623,31,0,0,0,0,0,0,20151126125108,20151201100848,36
37,0,LOCM,5100043036,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03L141018A,,,,0,,,20151120095157,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,37
38,0,LOCM,5100043037,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03L141018A,,,,0,,,20151120095157,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,38
39,0,LOCM,5100043038,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,03L141018A,,,,0,,,20151120095157,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,39
40,0,LOCM,5100043039,10,00000000000000000000000021000000208,10,0A220EF637021ED5B19FF7F624A5991A,,2015,201511,201547,2015-11-20,5,04E103404N,00000000000013941671,,000000200000000467,763,LKW001,LMWALKWL02,20151120095158,,20151125153829,1,20151209124453,1,20160426112935,1,20160426113030,3,20160426113040,3,20160426113040,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20160426113118,1,12005082,55,14,0,0,0,0,0,0,20160426113040,0,40
41,0,LOCM,5100043040,10,00000000000000000000000021000000204,10,0A63B21C04021EE682F45C7C92FCDF2E,,2015,201511,201547,2015-11-20,5,04E103404N,00000000000013946235,,000000200000000555,809,LKW5031231,LMWALKWR04,20151120095158,,20151125153829,1,20151127125933,1,20160503103133,1,20160503103156,3,20160503103158,3,20160503103159,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20160503103210,1,13642320,23,2,0,0,0,0,0,0,20160503103158,0,41
42,0,LOCM,5100043041,10,00000000000000000000000021000000209,10,0A220EF637021EE682F2C046C2BD811A,,2015,201511,201547,2015-11-20,5,04E103404N,00000000000013946229,,000000200000000467,763,LKW001,LMWALKWL02,20151120095158,,20151125153829,1,20151215121905,1,20160426112948,1,20160426113033,3,20160426113040,3,20160426113040,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20160426113118,1,11488243,45,14,0,0,0,0,0,0,20160426113040,0,42
43,0,LOCM,5100043042,10,00000000000000000000000021000000246,10,AE2340D55A031EE5A5A233C2A37C99A5,,2015,201511,201547,2015-11-20,5,04E103404N,00000000000013940024,,000000200000000467,763,LKW001,LMWALKWL02,20151120095159,,20151127142302,1,20151209103452,1,20160426112922,1,20160426113026,3,20160426113040,3,20160426113040,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20160426113118,1,12012870,64,14,0,0,0,0,0,0,20160426113040,0,43
44,0,LOCM,5100043043,10,00000000000000000000000021000000689,10,AE2340D55A031ED5AFD8004A3499CDE7,,2015,201511,201547,2015-11-20,5,04E103404T,00000000000013940746,,000000200000000296,561,LKW3031054,LMWALKWL03,20151120095159,,20160209092736,1,20160209092737,3,20160302211115,1,20160303095535,1,20160303095633,2,20160303095633,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20160331144756,1,1943018,45860,89,0,0,0,0,0,0,20160303095633,0,44
45,0,LOCM,5100043044,10,00000000000000000000000021000000706,20,AE2340D55A031EE5AFD80B5F4144D128,,2015,201511,201547,2015-11-20,5,04E103404T,00000000000013940748,,000000200000000314,467,LKW001,LMWALKWL02,20151120095159,,20160209105551,1,20160209105552,3,20160217100748,1,20160219212622,1,20160219212625,3,20160219212626,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20160219212639,1,688316,213514,3,0,0,0,0,0,0,20160219212625,0,45
46,0,LOCM,5100043044,10,00000000000000000000000021000000706,30,0A63B21C04021ED5AFD81E54CFA001AE,,2015,201511,201547,2015-11-20,5,04E103404T,00000000000013941050,,000000200000000289,527,LKW3011629,LMWALKWR02,20151120095159,,20160209105551,1,20160209105552,3,20160301071717,1,20160301152956,1,20160301153004,3,20160301153005,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20160301153049,1,1801285,29559,28,0,0,0,0,0,0,20160301153004,0,46
47,0,LOCM,5100043045,10,00000000000000000000000021000000710,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04E103404T,,,,0,,,20151120095159,,20160211123938,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,20160211124031,1,0,0,0,0,0,0,0,0,0,0,0,47
48,0,LOCM,5100043046,10,00000000000000000000000021000000801,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04E103404T,,,,0,,,20151120095200,,20160216142635,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,20160216142636,1,0,0,0,0,0,0,0,0,0,0,0,48
49,0,LOCM,5100043047,10,00000000000000000000000021000000205,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04E105266E,,,,0,,,20151120095200,,20151125153829,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,20151125153924,1,0,0,0,0,0,0,0,0,0,0,0,49
50,0,LOCM,5100043048,10,00000000000000000000000021000000206,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04E105266E,,,,0,,,20151120095201,,20151125153829,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,20151125153924,1,0,0,0,0,0,0,0,0,0,0,0,50
51,0,LOCM,5100043049,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04E105266E,,,,0,,,20151120095201,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,51
52,0,LOCM,5100043050,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04L105266,,,,0,,,20151120095201,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,52
53,0,LOCM,5100043051,10,00000000000000000000000021000000092,10,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04L141015,,,,0,,,20151120095202,,20151125153836,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,20151125153924,1,0,0,0,0,0,0,0,0,0,0,0,53
54,0,LOCM,5100043052,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04L141015R,,,,0,,,20151120095202,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,54
55,0,LOCM,5100043053,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04L141015R,,,,0,,,20151120095202,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,55
56,0,LOCM,5100043054,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04L141015R,,,,0,,,20151120095203,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,56
57,0,LOCM,5100043055,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,04L141015R,,,,0,,,20151120095203,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,57
58,0,LOCM,5100043056,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,059103023BC,,,,0,,,20151120095203,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,58
59,0,LOCM,5100043057,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,059103023BC,,,,0,,,20151120095204,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,59
60,0,LOCM,5100043058,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,059103023BC,,,,0,,,20151120095204,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,60
61,0,LOCM,5100043059,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,059103023BC,,,,0,,,20151120095204,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,61
62,20151201102741,LOCM,5100043060,10,00000000000000000000000021000000095,10,0A63B21C04021ED5A2C0792D5774184D,,2015,201511,201547,2015-11-20,5,059103601CJ,00000000000013939190,,000000200000000026,141,LKW-002,LMWALKWL05,20151120095204,0189593298,20151125153839,1,20151125153840,3,20151125165801,1,20151126125044,1,20151126125108,3,20151126125108,3,0,,0,,0,,0,,0,,0,,20151201100942,1,,,1,ST95,20151201101032,1,4761,71563,31,0,0,0,0,0,0,20151126125108,20151201100848,62
63,20151201102741,LOCM,5100043061,10,00000000000000000000000021000000216,10,AE2340D55A031EE5A288B28844E059A5,,2015,201511,201547,2015-11-20,5,059103601CJ,00000000000013939021,,000000200000000026,141,LKW-002,LMWALKWL05,20151120095205,0189593292,20151125153839,1,20151125153840,3,20151125165917,1,20151126125037,1,20151126125108,3,20151126125108,3,0,,0,,0,,0,,0,,0,,20151201100938,1,,,1,ST95,20151201101032,1,4837,71480,31,0,0,0,0,0,0,20151126125108,20151201100848,63
64,0,LOCM,5100043062,10,,0,00000000000000000000000000000000,,2015,201511,201547,2015-11-20,5,06E103023AK,,,,0,,,20151120095205,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151120105212,1,0,0,0,0,0,0,0,0,0,0,0,64
