INDEX,CHNGID,RECORDTP,REQUID,WM_COUNT2,/BIC/G0WM_TU_N,CALWEEK,/BIC/GEWLSTAT,CALDAY,CALMONTH,CALYEAR,WEEKDAY1,WM_MATNR,WM_LICNUM,WM_VLTYP,WM_NLTYP,WM_VLPLA,/BIC/GEWVOND,/BIC/GEWVONZ,/BIC/GEWKPI,WM_NLENR,/BIC/GEWZEITD,/BIC/GEWBISD,/BIC/GEWBISZ,/BIC/GEWERSTAT,RECORD
31,0,0,,1,000000200000000052,201546,,2015-11-12,201511,2015,4,03C105266F,,,,,2015-11-12,14:20:10,KPI5,00000000000013939008,20151112131940,2015-11-12,14:19:40,,31
32,0,0,,1,000000200000000025,201548,,2015-11-25,201511,2015,3,06E103023BB,LKW-001,,,,2015-11-25,16:38:24,KPI3,00000000001000000100,20151125170056,2015-11-25,18:00:56,,32
33,0,0,,1,000000200000000025,201548,,2015-11-26,201511,2015,4,06E103023BB,LKW-001,,,,2015-11-25,18:00:56,KPI4,00000000001000000100,20151126125006,2015-11-26,13:50:06,,33
34,0,0,,1,000000200000000025,201548,,2015-11-26,201511,2015,4,06E103023BB,LKW-001,,,,2015-11-26,13:50:06,KPI5,00000000001000000100,20151126125014,2015-11-26,13:50:14,,34
35,0,0,,1,000000200000000025,201549,,2015-12-02,201512,2015,3,06E103023BB,LKW-001,,,,2015-12-02,11:29:00,KPI6,00000000001000000100,20151202102900,2015-12-02,11:29:00,,35
36,0,0,,1,000000200000000025,201546,ST70,2015-11-12,201511,2015,4,06E103023BB,LKW-001,,,,,00:00:00,KPI51,00000000001000000100,0,,00:00:00,3,36
37,0,0,,1,000000200000000025,201548,,2015-11-25,201511,2015,3,06E103023BB,LKW-001,,,,2015-11-25,16:38:24,KPI3,00000000000013939387,20151125170137,2015-11-25,18:01:37,,37
38,0,0,,1,000000200000000025,201548,,2015-11-26,201511,2015,4,06E103023BB,LKW-001,,,,2015-11-25,18:01:37,KPI4,00000000000013939387,20151126124917,2015-11-26,13:49:17,,38
39,0,0,,1,000000200000000025,201548,,2015-11-26,201511,2015,4,06E103023BB,LKW-001,,,,2015-11-26,13:49:17,KPI5,00000000000013939387,20151126125014,2015-11-26,13:50:14,,39
40,0,0,,1,000000200000000025,201549,,2015-12-02,201512,2015,3,06E103023BB,LKW-001,,,,2015-12-02,11:28:28,KPI6,00000000000013939387,20151202102900,2015-12-02,11:28:28,,40
